sampno,veh_id,veh_num,year,make,make_other,make_clean,model,model_other,model_clean,fuel_type,fuel_type_clean,vehicle_type,vehicle_type_clean,vehicle_status,how_acquired,acquired_year,acquired_month,annual_mileage,electric_miles,mpg,current_use,other_use,tnc_replacement,delivery_replacement,veh_home,personal_use,personal_miles,hv_replacement,fcev_fuel_cost
190624,190624.01,1,2017,NISSAN, ,NISSAN,,,,5,4.0,2,2, ,2,2017, ,15000, ,120,3, ,2,2,1,2, , , 
190624,190624.02,2,2011,RAM, ,RAM,,,,1,1.0,13,13, ,3,2018,2,8000, ,14,5, ,2,2,1,2, ,500, 
190627,190627.01,1,2006,FORD, ,FORD,,,,1,1.0,13,13, ,3,2017, ,3000, ,15,1, ,2,2,2, , ,150, 
190683,190683.01,1,2012,FORD, ,FORD,,,,1,1.0,11,11, ,1,2012, ,30000, ,18,1, ,2,2,2, , ,600, 
190683,190683.02,2,2000,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,1,2000, ,20000, ,15,5, ,2,2,2, , ,50, 
190683,190683.03,3,2013,FORD, ,FORD,,,,1,1.0,11,11, ,1,2013, ,25000, ,15,5, ,2,2,2, , ,300, 
190683,190683.04,4,1998,FORD, ,FORD,,,,1,1.0,11,11, ,1,1998, ,10000, ,12,5, ,2,2,2, , ,1000, 
190627,190627.02,2,1986,DODGE, ,DODGE,,,,1,1.0,13,13, ,3,1988, ,1000, ,10,5, ,2,2,2, , ,50, 
190683,190683.05,5,2000,FORD, ,FORD,,,,1,1.0,13,13, ,1,2000, ,10000, ,16,5, ,2,2,2, , ,200, 
190630,190630.01,1,2012,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,1,1.0,2,2, ,3,2014, ,60000, ,12,1, ,2,2,2, , ,400, 
190630,190630.02,2,2010,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,3,2014, ,18000, ,17,2, ,2,2,1,1,40,350, 
190630,190630.03,3,2010,GMC, ,GMC,,,,1,1.0,12,12, ,3,2015, ,7000, ,16,1, ,2,2,2, , ,200, 
190630,190630.04,4,2010,CHEVROLET, ,CHEVROLET,,,,1,1.0,11,11, ,3,2013, ,50000, ,12,1, ,2,2,2, , ,300, 
190635,190635.01,1,2018,MAZDA, ,MAZDA,,,,1,1.0,3,3, ,1,2018,6,30000, ,24,4, ,2,2,2, , ,100, 
190639,190639.01,1,2018,TESLA, ,TESLA,,,,5,4.0,3,3, ,1,2018,5,13000, ,90,3, ,2,2,1,1,40, , 
190640,190640.01,1,2017,CHEVROLET, ,CHEVROLET,,,,8,6.0,9,9, ,1,2016, ,15000, ,18,1, ,2,2,1,1,10,400, 
192112,192112.01,1,2018,LINCOLN, ,LINCOLN,,,,1,1.0,9,9, ,1,2018,9,7000, ,25,2, ,2,2,1,2, ,30, 
190644,190644.01,1,2015,TESLA, ,TESLA,,,,5,4.0,3,3, ,3,2019,3,15000, ,7,2, ,2,2,1,1,15, , 
190652,190652.01,1,2016,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,4,3.0,11,11, ,1,2016, ,120000, ,20,4, ,2,2,2, , ,400, 
190653,190653.01,1,2017,SUBARU, ,SUBARU,,,,1,1.0,4,4, ,2,2017, ,12000, ,25,2, ,1,2,1,2, ,400, 
190649,190649.01,1,2015,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,1,2015, ,10750, ,14,4, ,2,2,2, , ,60, 
190649,190649.02,2,2015,HONDA, ,HONDA,,,,1,1.0,2,2, ,1,2015, ,10490, ,33,3, ,2,2,1,2, ,75, 
